"","SYMBOL","ENSEMBL","ENTREZID"
"603","RABIF","ENSG00000183155","5877"
"604","ZNF750","ENSG00000141579","79755"
"605","PNPLA5","ENSG00000100341","150379"
"606","UGT2B17","ENSG00000197888","7367"
"607","B3GNT7","ENSG00000156966","93010"
"608","SPDEF","ENSG00000124664","25803"
"609","LRRK1","ENSG00000154237","79705"
"610","ABCC11","ENSG00000121270","85320"
"611","RAB34","ENSG00000109113","83871"
"612","CERS6","ENSG00000172292","253782"
"613","MCFD2","ENSG00000180398","90411"
"614","C2orf16","ENSG00000221843","84226"
"615","ADAMTS6","ENSG00000049192","11174"
"616","ARL14EPL","ENSG00000268223","644100"
"617","LINC01068","ENSG00000227676","103724388"
"618","FAM229B","ENSG00000203778","619208"
"619","SRPX2","ENSG00000102359","27286"
"620","LOC100268168","ENSG00000204758","100268168"
"621","SNX27","ENSG00000143376","81609"
"622","GPAT3","ENSG00000138678","84803"
"623","PIK3CD-AS2","ENSG00000231789","101929074"
